my,male,female,black,asian,hispanic,white,month,m,year,y,total,myy,countvar,z,mmyy
1/10,69,12,1,0,8,72,1,1,10,10,81,110,3,0,0110
2/10,33,7,4,1,9,26,2,2,10,10,40,210,3,0,0210
3/10,43,9,0,0,8,44,3,3,10,10,52,310,3,0,0310
4/10,39,12,1,1,5,43,4,4,10,10,51,410,3,0,0410
5/10,59,12,4,0,9,58,5,5,10,10,71,510,3,0,0510
6/10,36,9,2,2,4,38,6,6,10,10,45,610,3,0,0610
7/10,42,7,0,0,9,40,7,7,10,10,49,710,3,0,0710
8/10,36,10,1,1,4,40,8,8,10,10,46,810,3,0,0810
9/10,27,11,1,0,4,33,9,9,10,10,38,910,3,0,0910
10/10,29,9,0,0,7,31,10,10,10,10,38,1010,4,0,1010
11/10,34,7,0,0,6,34,11,11,10,10,41,1110,4,0,1110
12/10,38,12,1,0,6,43,12,12,10,10,50,1210,4,0,1210
1/11,39,10,1,1,9,38,1,1,11,11,49,111,3,0,0111
2/11,36,15,2,2,5,42,2,2,11,11,51,211,3,0,0211
3/11,55,18,3,0,10,59,3,3,11,11,73,311,3,0,0311
4/11,51,16,3,2,9,52,4,4,11,11,67,411,3,0,0411
5/11,39,10,2,0,4,41,5,5,11,11,49,511,3,0,0511
6/11,38,6,5,1,9,28,6,6,11,11,44,611,3,0,0611
7/11,26,3,1,0,2,26,7,7,11,11,29,711,3,0,0711
8/11,38,4,3,1,6,32,8,8,11,11,42,811,3,0,0811
9/11,31,6,1,0,8,28,9,9,11,11,37,911,3,0,0911
10/11,44,13,3,2,5,45,10,10,11,11,57,1011,4,0,1011
11/11,38,9,4,0,6,37,11,11,11,11,47,1111,4,0,1111
12/11,46,7,1,0,8,44,12,12,11,11,53,1211,4,0,1211
1/12,35,6,2,0,5,33,1,1,12,12,41,112,3,0,0112
2/12,40,9,0,0,1,48,2,2,12,12,49,212,3,0,0212
3/12,48,14,3,0,9,51,3,3,12,12,62,312,3,0,0312
4/12,38,12,3,0,3,44,4,4,12,12,50,412,3,0,0412
5/12,57,13,4,0,8,57,5,5,12,12,70,512,3,0,0512
6/12,40,4,2,0,7,34,6,6,12,12,44,612,3,0,0612
7/12,29,4,1,0,6,25,7,7,12,12,33,712,3,0,0712
8/12,35,11,3,0,8,33,8,8,12,12,46,812,3,0,0812
9/12,27,9,1,0,7,27,9,9,12,12,36,912,3,0,0912
10/12,26,11,0,1,8,27,10,10,12,12,37,1012,4,0,1012
11/12,36,6,3,0,6,32,11,11,12,12,42,1112,4,0,1112
12/12,18,7,0,0,2,23,12,12,12,12,25,1212,4,0,1212
1/13,8,1,0,0,0,9,1,1,13,13,9,113,3,0,0113
2/13,10,2,0,0,4,8,2,2,13,13,12,213,3,0,0213
3/13,7,1,0,1,0,7,3,3,13,13,8,313,3,0,0313
4/13,7,5,1,0,3,8,4,4,13,13,12,413,3,0,0413
5/13,4,2,0,0,1,4,5,5,13,13,6,513,3,0,0513
6/13,6,1,2,1,1,3,6,6,13,13,7,613,3,0,0613
