value,key,date
69,male,10-Jan
33,male,10-Feb
43,male,10-Mar
39,male,10-Apr
59,male,10-May
36,male,10-Jun
42,male,10-Jul
36,male,10-Aug
27,male,10-Sep
29,male,10-Oct
34,male,10-Nov
38,male,10-Dec
39,male,11-Jan
36,male,11-Feb
55,male,11-Mar
51,male,11-Apr
39,male,11-May
38,male,11-Jun
26,male,11-Jul
38,male,11-Aug
31,male,11-Sep
44,male,11-Oct
38,male,11-Nov
46,male,11-Dec
35,male,12-Jan
40,male,12-Feb
48,male,12-Mar
38,male,12-Apr
57,male,12-May
40,male,12-Jun
29,male,12-Jul
35,male,12-Aug
27,male,12-Sep
26,male,12-Oct
36,male,12-Nov
18,male,12-Dec
8,male,13-Jan
10,male,13-Feb
7,male,13-Mar
7,male,13-Apr
4,male,13-May
6,male,13-Jun
12,female,10-Jan
7,female,10-Feb
9,female,10-Mar
12,female,10-Apr
12,female,10-May
9,female,10-Jun
7,female,10-Jul
10,female,10-Aug
11,female,10-Sep
9,female,10-Oct
7,female,10-Nov
12,female,10-Dec
10,female,11-Jan
15,female,11-Feb
18,female,11-Mar
16,female,11-Apr
10,female,11-May
6,female,11-Jun
3,female,11-Jul
4,female,11-Aug
6,female,11-Sep
13,female,11-Oct
9,female,11-Nov
7,female,11-Dec
6,female,12-Jan
9,female,12-Feb
14,female,12-Mar
12,female,12-Apr
13,female,12-May
4,female,12-Jun
4,female,12-Jul
11,female,12-Aug
9,female,12-Sep
11,female,12-Oct
6,female,12-Nov
7,female,12-Dec
1,female,13-Jan
2,female,13-Feb
1,female,13-Mar
5,female,13-Apr
2,female,13-May
1,female,13-Jun
1,black,10-Jan
4,black,10-Feb
0,black,10-Mar
1,black,10-Apr
4,black,10-May
2,black,10-Jun
0,black,10-Jul
1,black,10-Aug
1,black,10-Sep
0,black,10-Oct
0,black,10-Nov
1,black,10-Dec
1,black,11-Jan
2,black,11-Feb
3,black,11-Mar
3,black,11-Apr
2,black,11-May
5,black,11-Jun
1,black,11-Jul
3,black,11-Aug
1,black,11-Sep
3,black,11-Oct
4,black,11-Nov
1,black,11-Dec
2,black,12-Jan
0,black,12-Feb
3,black,12-Mar
3,black,12-Apr
4,black,12-May
2,black,12-Jun
1,black,12-Jul
3,black,12-Aug
1,black,12-Sep
0,black,12-Oct
3,black,12-Nov
0,black,12-Dec
0,black,13-Jan
0,black,13-Feb
0,black,13-Mar
1,black,13-Apr
0,black,13-May
2,black,13-Jun
0,asian,10-Jan
8,hispanic,10-Jan
9,hispanic,10-Feb
8,hispanic,10-Mar
5,hispanic,10-Apr
9,hispanic,10-May
4,hispanic,10-Jun
9,hispanic,10-Jul
4,hispanic,10-Aug
4,hispanic,10-Sep
7,hispanic,10-Oct
6,hispanic,10-Nov
6,hispanic,10-Dec
9,hispanic,11-Jan
5,hispanic,11-Feb
10,hispanic,11-Mar
9,hispanic,11-Apr
4,hispanic,11-May
9,hispanic,11-Jun
2,hispanic,11-Jul
6,hispanic,11-Aug
8,hispanic,11-Sep
5,hispanic,11-Oct
6,hispanic,11-Nov
8,hispanic,11-Dec
5,hispanic,12-Jan
1,hispanic,12-Feb
9,hispanic,12-Mar
3,hispanic,12-Apr
8,hispanic,12-May
7,hispanic,12-Jun
6,hispanic,12-Jul
8,hispanic,12-Aug
7,hispanic,12-Sep
8,hispanic,12-Oct
6,hispanic,12-Nov
2,hispanic,12-Dec
0,hispanic,13-Jan
4,hispanic,13-Feb
0,hispanic,13-Mar
3,hispanic,13-Apr
1,hispanic,13-May
1,hispanic,13-Jun
72,white,10-Jan
26,white,10-Feb
44,white,10-Mar
43,white,10-Apr
58,white,10-May
38,white,10-Jun
40,white,10-Jul
40,white,10-Aug
33,white,10-Sep
31,white,10-Oct
34,white,10-Nov
43,white,10-Dec
38,white,11-Jan
42,white,11-Feb
59,white,11-Mar
52,white,11-Apr
41,white,11-May
28,white,11-Jun
26,white,11-Jul
32,white,11-Aug
28,white,11-Sep
45,white,11-Oct
37,white,11-Nov
44,white,11-Dec
33,white,12-Jan
48,white,12-Feb
51,white,12-Mar
44,white,12-Apr
57,white,12-May
34,white,12-Jun
25,white,12-Jul
33,white,12-Aug
27,white,12-Sep
27,white,12-Oct
32,white,12-Nov
23,white,12-Dec
9,white,13-Jan
8,white,13-Feb
7,white,13-Mar
8,white,13-Apr
4,white,13-May
3,white,13-Jun
