ccd_latcod	ccd_loncod	race_bully_percent
32.3748	-86.0824	0
34.2602	-86.2062	0.31496
34.2622	-86.2049	0
34.2732	-86.2201	0.44118
34.2533	-86.2218	0
34.2902	-86.1925	0
34.2533	-86.2218	0
34.5337	-86.2537	0
34.3628	-86.1422	0
34.4064	-86.2707	0
34.1762	-86.3213	0
34.1782	-86.3199	0
34.3444	-86.4422	0
34.5337	-86.2537	0
34.4	-86.4468	0
34.1767	-86.3233	0
34.3772	-86.4223	0
34.3764	-86.4219	0
34.5337	-86.2537	0
34.1782	-86.3199	0
34.3631	-86.1423	0
33.3409	-86.8447	0
33.413	-86.6585	0
33.3444	-86.8377	0
33.3956	-86.7322	0
33.3375	-86.8784	0
33.3309	-86.8525	0
33.3927	-86.7288	0.06173
33.3639	-86.8674	0
33.4096	-86.8538	0
33.3957	-86.8088	0
33.3882	-86.8312	0
33.3879	-86.8337	0
33.4091	-86.7668	0
33.4268	-86.8244	0
33.3596	-86.8129	0
33.3439	-86.8887	0
34.7058	-86.7137	0
34.7408	-86.7427	0
34.7192	-86.7425	0
34.6975	-86.7505	0
34.7212	-86.7512	0
34.7211	-86.7832	0
34.7512	-86.7331	0
34.7337	-86.7792	0.39841
34.7343	-86.766	0
34.7001	-86.7722	0
34.7056	-86.7866	0
33.4322	-86.0978	0
33.4332	-86.0895	0
33.4626	-86.0891	0
33.5452	-86.5481	0
33.5483	-86.5356	0
33.5472	-86.5724	0
34.2122	-86.1579	0
34.2118	-86.1639	0.33389
34.2048	-86.1755	0
34.2135	-86.1613	0
34.2065	-86.1781	0
33.6556	-86.5932	0
33.6495	-86.5669	0
33.6488	-86.5681	0
33.6654	-86.5888	0.07179
33.5209	-86.8129	0
33.2282	-87.1213	0
		0
		0
		0
		0
		0
32.9451	-85.9488	0
32.9377	-85.9508	0
32.9312	-85.9307	0
32.9555	-85.949	1.0989
32.9295	-85.9726	0
33.4838	-86.6596	0
33.4838	-86.6596	0
33.9206	-85.7257	0
		0
33.9206	-85.7257	0
		0
31.4182	-85.8952	0
		0
33.2321	-86.8242	0
		10.46512
		0
33.5459	-86.7581	0
31.3154	-86.4708	0
31.3279	-86.4828	0
31.2846	-86.5025	0
33.6612	-85.82	3.1746
33.6333	-85.8339	0
33.6317	-85.7755	0
33.6656	-85.8591	0
33.6581	-85.8086	0
33.709	-85.8224	0
33.7082	-85.8228	0
33.6617	-85.8417	0
34.329	-86.4943	0
34.3351	-86.4966	0
34.3125	-86.5105	0
34.3296	-86.489	0
34.7934	-86.9967	0
34.8087	-86.9736	0
34.8045	-86.9507	0.11481
34.7957	-86.968	0
34.8045	-86.9935	0
34.7991	-86.9626	0
34.7818	-86.9629	0
33.5489	-86.7306	12.76596
		0
33.9954	-86.1132	0
34.0175	-86.0983	0
31.0317	-87.4794	0
33.5849	-86.646	0
30.8312	-88.0642	0
30.8122	-88.0783	0
30.7971	-88.1019	0
30.7564	-88.0801	0
30.7571	-88.0785	0
33.2246	-86.8235	0
33.2223	-86.8317	1.06264
33.2153	-86.838	0
33.1762	-86.8057	0
33.2252	-86.8624	0
33.2275	-86.8231	0
32.5969	-85.4633	0.56075
32.5981	-85.4767	0
32.6211	-85.4851	0
32.6005	-85.4641	0
32.6181	-85.4944	0
32.5898	-85.472	0
32.5862	-85.4694	0
32.564	-85.4567	0
32.6404	-85.5065	0
32.6355	-85.5021	0
		0
32.6622	-86.7018	0.45662
32.619	-86.4832	0
32.4547	-86.4555	0
32.5005	-86.4716	0
32.4849	-86.4707	2.14953
32.4542	-86.4516	0
32.4624	-86.4684	0
32.5894	-86.463	0
32.4522	-86.4222	0
32.4339	-86.6593	0
32.4574	-86.4662	0
32.7007	-86.4745	0
31.8689	-85.4492	0
31.7776	-85.5491	0
31.8727	-85.4604	5.7971
31.7804	-85.5546	0
33.3341	-86.9333	0
33.4097	-86.941	0
33.3679	-86.9846	0
33.37	-87.0006	0
33.3785	-86.9587	0
33.3787	-86.9805	0
33.4126	-86.9603	0
32.9472	-87.1426	0
32.9428	-87.1101	0
32.9013	-86.9063	0
33.1146	-87.1254	0
33.1131	-87.1284	0
33.1127	-87.1313	0.20202
33.2098	-87.1377	0
		0
		0
33.5169	-86.7712	0
33.5599	-86.7281	0
33.4856	-86.8998	0
33.5051	-86.8934	0
33.4842	-86.8859	0
33.5805	-86.6903	0
33.4947	-86.8132	0
33.4707	-86.8971	1.15607
33.4931	-86.8519	0
33.5557	-86.8048	0
33.595	-86.6928	0
33.6129	-86.682	0
33.5638	-86.7815	0.25063
33.5448	-86.8239	0
33.5052	-86.8824	0
33.5369	-86.7318	0
33.5179	-86.8917	0
33.5146	-86.8293	0
33.5026	-86.8607	0
33.528	-86.7141	0
33.4976	-86.7986	0
33.5727	-86.7193	0
33.6104	-86.701	0
33.4959	-86.8286	2.11268
33.4525	-86.8859	0
33.5231	-86.8387	0.625
33.5422	-86.7521	0
33.5054	-86.9168	0
33.5427	-86.8924	0
33.5938	-86.706	0
33.5584	-86.828	0
33.4941	-86.8097	0
33.4743	-86.8703	0
33.5038	-86.8326	0
33.6363	-86.7156	0
33.5658	-86.7173	0
33.5232	-86.8051	0
33.6191	-86.6802	0
33.4846	-86.8676	0
		0
		0
		0
33.5313	-86.7715	0
33.5163	-86.8642	0
33.8814	-86.7706	0
33.8879	-86.3971	0
34.0847	-86.586	0
33.9932	-86.5736	0
33.8834	-86.7694	0
33.8869	-86.7681	0
34.0858	-86.5888	0
33.9084	-86.6179	0
33.8314	-86.584	0
34.0828	-86.4303	0
33.9073	-86.6185	0
33.9934	-86.5729	0
34.0832	-86.4298	0
33.8901	-86.7566	0
31.1179	-87.0736	0
31.1606	-87.0604	0
31.1382	-87.0704	0
32.1307	-85.7241	0
32.1331	-85.7193	0
32.1462	-85.7185	0.625
32.1433	-85.7121	0
31.8371	-86.6519	0
31.8381	-86.6253	0
31.546	-86.7146	0
31.8337	-86.6245	0
31.8342	-86.6256	0
31.6268	-86.7299	0
33.7742	-85.8867	0
33.786	-86.0014	0
33.7018	-85.8321	0
33.7022	-85.8367	0
33.7012	-85.8342	0
33.7552	-85.8144	0
33.7468	-85.8309	0
33.6515	-85.8794	0
33.7468	-85.6867	0
33.7883	-86.003	0.5618
33.8856	-85.8106	0
33.734	-85.6821	0
33.8863	-85.8173	0.18904
33.6525	-85.882	0.53004
33.7757	-85.8836	0
33.7348	-85.6828	0.20408
32.898	-85.3943	0
32.7912	-85.1872	0.19455
33.0179	-85.3474	0
32.8348	-85.2283	0
32.8994	-85.3966	0
32.8134	-85.1718	0
32.8401	-85.1853	0
32.8887	-85.3972	0
32.8022	-85.1815	0
32.8066	-85.1967	0.2994
34.2198	-85.6045	0
34.1498	-85.6705	0
34.1367	-85.6507	0
34.1638	-85.6587	0
34.2711	-85.56	0
34.241	-85.7674	0
33.9817	-85.544	0
32.8287	-86.7856	0
32.965	-86.7485	0
32.8031	-86.8784	0
32.9136	-86.7163	0
32.8247	-86.6145	0
32.8262	-86.6132	0
32.749	-86.5088	0.33956
32.9811	-86.7295	0
32.8243	-86.6115	0.14388
32.8219	-86.6127	0
32.9826	-86.7294	0
31.8421	-88.3159	0
32.0798	-88.2332	0
31.8429	-88.3193	0
32.0819	-88.2336	0
31.7072	-87.775	0
31.7079	-87.7918	0
31.5129	-87.8947	0
31.5317	-87.8962	0
31.7028	-87.7647	0
31.5305	-87.8971	0
31.5482	-87.8851	0
33.2706	-85.8398	0.1845
33.3106	-85.758	0.21645
33.2908	-85.7873	0.15456
33.2908	-85.7873	0
33.6473	-85.5718	0
33.6481	-85.5719	0
33.7322	-85.4364	0
33.5235	-85.6351	0
33.5234	-85.3465	0
33.647	-85.5718	0
33.5238	-85.3473	0
31.2213	-86.1699	0
31.5673	-86.0106	0
31.3803	-85.9347	0
31.393	-85.9224	0
34.7695	-87.9639	0
34.7657	-87.9633	0
34.6955	-87.5244	0
34.6688	-87.6985	0
34.7571	-87.4838	0.41152
34.6978	-87.5234	0
34.643	-87.7808	0
34.6696	-87.7009	0
31.2972	-87.0313	0
31.4268	-86.9727	0
31.5416	-86.9866	0
31.4233	-86.9515	0
31.4115	-87.2345	0
31.4312	-86.9372	0
33.0045	-86.1995	0
33.0067	-86.2016	0
33.0067	-86.2016	0
31.3885	-86.4162	0
31.3297	-86.245	0
31.0028	-86.3368	0
31.1584	-86.6128	0
31.4027	-86.612	0
31.3906	-86.4157	0
31.0155	-86.3567	0
31.3878	-86.417	0
31.4027	-86.6128	0
31.591	-86.2556	0
31.953	-86.3135	0
31.7135	-86.2756	0.75094
34.187	-86.8354	0
34.1848	-86.8443	0
34.1885	-86.8418	0
34.1736	-86.8359	0
34.173	-86.8578	0
34.2681	-86.6104	0
33.982	-87.0317	0
33.982	-87.0314	0
34.256	-86.6879	0
34.0127	-86.7511	0
34.1027	-86.881	0
34.0607	-86.7616	0
34.1769	-86.619	0
34.2436	-86.8649	0
34.1418	-86.7407	0
34.2373	-86.9633	0
34.2538	-86.6892	0
34.256	-86.6879	0
34.102	-86.8796	0
34.1035	-86.88	0
34.0604	-86.7621	0
34.0606	-86.761	0
34.1763	-86.6187	0
34.2427	-86.8632	0
34.2428	-86.8657	0
34.2385	-86.9622	0
34.2326	-86.965	0
34.0965	-86.8861	0
34.2216	-86.8577	0
34.1426	-87.0685	0
34.2334	-86.9644	0
34.1772	-86.6186	0
31.5588	-85.5516	0
31.6025	-85.7216	0
31.3207	-85.5042	0
31.559	-85.5509	0
31.3189	-85.4975	0
31.33	-85.5957	0
31.3163	-85.5469	0
31.316	-85.7103	0
31.31	-85.7151	0
32.4248	-86.9605	0
32.6618	-86.9296	0
32.6531	-86.9251	0
32.2925	-87.2357	0
32.3497	-87.2603	0
32.3578	-86.9712	0
32.3664	-86.9864	0
32.3709	-87.0162	0
32.4974	-86.9836	0
32.4987	-86.9836	0
32.361	-86.9885	0
34.2562	-85.8666	0
34.2813	-86.0112	0
34.3914	-85.9752	0
34.351	-86.0032	0
34.6351	-85.768	0
34.7122	-85.6754	0
34.5668	-85.5691	0
34.4836	-85.8219	0
34.3537	-85.7386	0
34.5644	-85.8142	0.21834
34.5641	-85.6141	0
34.2887	-85.9961	0
		0
34.5595	-87.0197	0
34.5799	-87.0077	0
34.5686	-86.9969	0
34.5866	-86.9939	0
34.5948	-86.974	0
34.5783	-86.9448	0
34.6199	-86.9965	0
34.5992	-86.9835	0
34.5878	-86.966	0
34.5936	-86.9716	0
34.5983	-86.9981	0
