x,value,y
Alabama,.8839286,1998
Alaska,.9103139,1998
Arizona,.98857909,1998
Arkansas,.91028446,1998
California,.95924103,1998
Colorado,.95642704,1998
Connecticut,.9037267,1998
Delaware,.92805755,1998
District of Columbia,.93333334,1998
Florida,.9036175,1998
Georgia,.84293193,1998
Hawaii,.97227359,1998
Idaho,.73228347,1998
Illinois,.8900156,1998
Indiana,.87840289,1998
Iowa,.90867579,1998
Kansas,.92105263,1998
Kentucky,.91587681,1998
Louisiana,.93333334,1998
Maine,.89333332,1998
Maryland,.84210527,1998
Massachusetts,.94296581,1998
Michigan,.91599643,1998
Minnesota,.84079599,1998
Mississippi,.91874999,1998
Missouri,.9399454,1998
Montana,.89644015,1998
Nebraska,.9225589,1998
Nevada,.92807019,1998
New Hampshire,.89864862,1998
New Jersey,.95222586,1998
New Mexico,.96900827,1998
New York,.94740653,1998
North Carolina,.93260473,1998
North Dakota,.90783411,1998
Ohio Northern,.96402347,1998
Oklahoma,.81542349,1998
Oregon,.95552146,1998
Pennsylvania,.92171717,1998
Rhode Island,.84210527,1998
South Carolina,.95415777,1998
South Dakota,.91150445,1998
Tennessee,.90338165,1998
Texas,.95956814,1998
Utah,.95445544,1998
Vermont,.95689654,1998
Virginia,.89440536,1998
Washington,.97039157,1998
West Virginia,.9311828,1998
Wisconsin,.89488637,1998
Wyoming,.93377483,1998
Alabama,.902439,1999
Alaska,.92385787,1999
Arizona,.98840916,1999
Arkansas,.91224021,1999
California,.97263098,1999
Colorado,.97885835,1999
Connecticut,.91408932,1999
Delaware,.94680852,1999
District of Columbia,.92563599,1999
Florida,.91441542,1999
Georgia,.86785829,1999
Hawaii,.95885509,1999
Idaho,.8974359,1999
Illinois,.91936553,1999
Indiana,.91205209,1999
Iowa,.93000001,1999
Kansas,.92405063,1999
Kentucky,.9382835,1999
Louisiana,.93925762,1999
Maine,.96212119,1999
Maryland,.93350065,1999
Massachusetts,.95740741,1999
Michigan,.92436975,1999
Minnesota,.88617885,1999
Mississippi,.90439773,1999
Missouri,.94824708,1999
Montana,.87537092,1999
Nebraska,.94838709,1999
Nevada,.93461537,1999
New Hampshire,.96666664,1999
New Jersey,.95126706,1999
New Mexico,.98311895,1999
New York,.95807451,1999
North Carolina,.93426293,1999
North Dakota,.95073891,1999
Ohio Northern,.97228301,1999
Oklahoma,.74920636,1999
Oregon,.97146565,1999
Pennsylvania,.94028914,1999
Rhode Island,.88321167,1999
South Carolina,.95193315,1999
South Dakota,.90890688,1999
Tennessee,.92908436,1999
Texas,.96993309,1999
Utah,.94168097,1999
Vermont,.9245283,1999
Virginia,.89061844,1999
Washington,.96699673,1999
West Virginia,.94621027,1999
Wisconsin,.94444442,1999
Wyoming,.84530389,1999
Alabama,.93056995,2000
Alaska,.92207789,2000
Arizona,.98896247,2000
Arkansas,.93123209,2000
California,.97304118,2000
Colorado,.98015875,2000
Connecticut,.95528454,2000
Delaware,.89795917,2000
District of Columbia,.94369972,2000
Florida,.91626632,2000
Georgia,.85158241,2000
Hawaii,.94557822,2000
Idaho,.85207099,2000
Illinois,.94222754,2000
Indiana,.86551726,2000
Iowa,.94065285,2000
Kansas,.93991417,2000
Kentucky,.94105691,2000
Louisiana,.95777547,2000
Maine,.94285715,2000
Maryland,.94423318,2000
Massachusetts,.9548611,2000
Michigan,.93224698,2000
Minnesota,.92177588,2000
Mississippi,.94635195,2000
Missouri,.98126465,2000
Montana,.94270831,2000
Nebraska,.98080611,2000
Nevada,.958884,2000
New Hampshire,.92592591,2000
New Jersey,.94432992,2000
New Mexico,.98411798,2000
New York,.95183587,2000
North Carolina,.9432739,2000
North Dakota,.97354496,2000
Ohio Northern,.96274835,2000
Oklahoma,.72926831,2000
Oregon,.97386521,2000
Pennsylvania,.92307693,2000
Rhode Island,.93865031,2000
South Carolina,.95300549,2000
South Dakota,.95614034,2000
Tennessee,.92875761,2000
