x,value,y
Alabama,.74373955,1998
Alaska,.68350166,1998
Arizona,.92868412,1998
Arkansas,.81728882,1998
California,.88786262,1998
Colorado,.78815079,1998
Connecticut,.85337245,1998
Delaware,.91489363,1998
District of Columbia,.85568762,1998
Florida,.85618407,1998
Georgia,.69964212,1998
Guam,.86557376,1998
Hawaii,.68134713,1998
Idaho,.58490568,1998
Illinois,.80182713,1998
Indiana,.78317153,1998
Iowa,.84680849,1998
Kansas,.80614203,1998
Kentucky,.75488281,1998
Louisiana,.85714287,1998
Maine,.83749998,1998
Maryland,.68537664,1998
Massachusetts,.87632507,1998
Michigan,.76779026,1998
Minnesota,.7860465,1998
Mississippi,.83681214,1998
Missouri,.86515915,1998
Montana,.53371871,1998
Nebraska,.83282673,1998
Nevada,.83438486,1998
New Hampshire,.83647799,1998
New Jersey,.80532598,1998
New Mexico,.79897785,1998
New York,.90860713,1998
North Carolina,.81355929,1998
North Dakota,.85281384,1998
Northern Mariana Islands,.54761904,1998
Ohio Northern,.91498256,1998
Oklahoma,.68109822,1998
Oregon,.86168742,1998
Pennsylvania,.88217521,1998
Puerto Rico,.69870609,1998
Rhode Island,.80575538,1998
South Carolina,.81289738,1998
South Dakota,.79078692,1998
Tennessee,.72706068,1998
Texas,.88280672,1998
Utah,.85309732,1998
Vermont,1,1998
Virgin Islands,.85117495,1998
Virginia,.69109648,1998
Washington,.74106491,1998
West Virginia,.84901959,1998
Wisconsin,.8490566,1998
Wyoming,1,1998
Alabama,.77690291,1999
Alaska,.67657995,1999
Arizona,.91423213,1999
Arkansas,.79158318,1999
California,.89963108,1999
Colorado,.82092196,1999
Connecticut,.84177214,1999
Delaware,.79464287,1999
District of Columbia,.85379064,1999
Florida,.85756868,1999
Georgia,.71855181,1999
Guam,.84313726,1999
Hawaii,.44853556,1999
Idaho,.72164947,1999
Illinois,.85864198,1999
Indiana,.83832335,1999
Iowa,.85321099,1999
Kansas,.82485878,1999
Kentucky,.76015627,1999
Louisiana,.82266009,1999
Maine,1,1999
Maryland,.59141493,1999
Massachusetts,.90069687,1999
Michigan,.81347579,1999
Minnesota,.82732445,1999
Mississippi,.81551725,1999
Missouri,.89308178,1999
Montana,.60204083,1999
Nebraska,.88911289,1999
Nevada,.84816754,1999
New Hampshire,.80555558,1999
New Jersey,.83920896,1999
New Mexico,.8811239,1999
New York,.92286325,1999
North Carolina,.847718,1999
North Dakota,.91037738,1999
Northern Mariana Islands,.50704223,1999
Ohio Northern,.92376995,1999
Oklahoma,.63783783,1999
Oregon,.87807739,1999
Pennsylvania,.88468361,1999
Puerto Rico,.77187949,1999
Rhode Island,.82876712,1999
South Carolina,.84744185,1999
South Dakota,.84398496,1999
Tennessee,.75602627,1999
Texas,.88976449,1999
Utah,.78428572,1999
Vermont,.9245283,1999
Virgin Islands,.87199998,1999
Virginia,.67874318,1999
Washington,.76351792,1999
West Virginia,.84682715,1999
Wisconsin,.9221698,1999
Wyoming,.83606559,1999
Alabama,.81562215,2000
Alaska,.77737224,2000
Arizona,.92394948,2000
Arkansas,.85526317,2000
California,.90568602,2000
Colorado,.8358714,2000
Connecticut,.88345867,2000
Delaware,1,2000
District of Columbia,.82629108,2000
Florida,.86351877,2000
Georgia,.66279727,2000
Guam,.80000001,2000
Hawaii,.80813956,2000
Idaho,.75789475,2000
Illinois,.89328063,2000
Indiana,.76524389,2000
Iowa,.87933427,2000
Kansas,.77935946,2000
Kentucky,.76655626,2000
Louisiana,.85399449,2000
Maine,.9116022,2000
Maryland,.70817488,2000
Massachusetts,.89430892,2000
Michigan,.8063798,2000
Minnesota,.87726361,2000
Mississippi,.84807694,2000
Missouri,.90172166,2000
Montana,.67790264,2000
Nebraska,.88869566,2000
Nevada,.84366924,2000
New Hampshire,.8116883,2000
New Jersey,.84113866,2000
New Mexico,.87803644,2000
New York,.92506295,2000
North Carolina,.86094677,2000
North Dakota,.87619048,2000
Northern Mariana Islands,.76623374,2000
Ohio Northern,.91430819,2000
Oklahoma,.62617803,2000
Oregon,.82807016,2000
Pennsylvania,.86755347,2000
Puerto Rico,.72535992,2000
Rhode Island,.92727274,2000
South Carolina,.84251207,2000
South Dakota,.86052632,2000
Tennessee,.83385336,2000
Texas,.90367717,2000
Utah,.80853993,2000
Vermont,.92655367,2000
Virgin Islands,.89700133,2000
Virginia,.65605634,2000
Washington,.80555558,2000
West Virginia,.82504606,2000
Wisconsin,.83846152,2000
Wyoming,.92346936,2000
Alabama,.82039291,2001
Alaska,.7403509,2001
Arizona,.91920859,2001
Arkansas,.82937366,2001
California,.91403872,2001
Colorado,.86069649,2001
Connecticut,.9163987,2001
Delaware,1,2001
District of Columbia,.78212291,2001
Florida,.88230205,2001
Georgia,.70864898,2001
Guam,.64754099,2001
Hawaii,.86386555,2001
Idaho,.89542484,2001
Illinois,.8996923,2001
Indiana,.82327586,2001
Iowa,.9034965,2001
Kansas,.8128162,2001
Kentucky,.81736529,2001
Louisiana,.88054299,2001
Maine,1,2001
Maryland,.64735097,2001
Massachusetts,.88255614,2001
Michigan,.8501153,2001
Minnesota,.83193278,2001
Mississippi,.85538882,2001
Missouri,.93323964,2001
Montana,.65576589,2001
Nebraska,.90702087,2001
Nevada,.87053573,2001
New Hampshire,.77472526,2001
New Jersey,.86863542,2001
New Mexico,.87941533,2001
New York,.93283761,2001
North Carolina,.86850882,2001
North Dakota,.92631578,2001
Northern Mariana Islands,.37313432,2001
Ohio Northern,.91861343,2001
Oklahoma,.5604651,2001
Oregon,.86721504,2001
Pennsylvania,.8880223,2001
Puerto Rico,.50184959,2001
Rhode Island,.91525424,2001
South Carolina,.81809527,2001
South Dakota,.84832907,2001
