value,key,date
69,male,Jan-10
33,male,Feb-10
43,male,Mar-10
39,male,Apr-10
59,male,May-10
36,male,Jun-10
42,male,Jul-10
36,male,Aug-10
27,male,Sep-10
29,male,Oct-10
34,male,Nov-10
38,male,Dec-10
39,male,Jan-11
36,male,Feb-11
55,male,Mar-11
51,male,Apr-11
39,male,May-11
38,male,Jun-11
26,male,Jul-11
38,male,Aug-11
31,male,Sep-11
44,male,Oct-11
38,male,Nov-11
46,male,Dec-11
35,male,Jan-12
40,male,Feb-12
48,male,Mar-12
38,male,Apr-12
57,male,May-12
40,male,Jun-12
29,male,Jul-12
35,male,Aug-12
27,male,Sep-12
26,male,Oct-12
36,male,Nov-12
18,male,Dec-12
8,male,Jan-13
10,male,Feb-13
7,male,Mar-13
7,male,Apr-13
4,male,May-13
6,male,Jun-13
12,female,Jan-10
7,female,Feb-10
9,female,Mar-10
12,female,Apr-10
12,female,May-10
9,female,Jun-10
7,female,Jul-10
10,female,Aug-10
11,female,Sep-10
9,female,Oct-10
7,female,Nov-10
12,female,Dec-10
10,female,Jan-11
15,female,Feb-11
18,female,Mar-11
16,female,Apr-11
10,female,May-11
6,female,Jun-11
3,female,Jul-11
4,female,Aug-11
6,female,Sep-11
13,female,Oct-11
9,female,Nov-11
7,female,Dec-11
6,female,Jan-12
9,female,Feb-12
14,female,Mar-12
12,female,Apr-12
13,female,May-12
4,female,Jun-12
4,female,Jul-12
11,female,Aug-12
9,female,Sep-12
11,female,Oct-12
6,female,Nov-12
7,female,Dec-12
1,female,Jan-13
2,female,Feb-13
1,female,Mar-13
5,female,Apr-13
2,female,May-13
1,female,Jun-13
1,black,Jan-10
4,black,Feb-10
0,black,Mar-10
1,black,Apr-10
4,black,May-10
2,black,Jun-10
0,black,Jul-10
1,black,Aug-10
1,black,Sep-10
0,black,Oct-10
0,black,Nov-10
1,black,Dec-10
1,black,Jan-11
2,black,Feb-11
3,black,Mar-11
3,black,Apr-11
2,black,May-11
5,black,Jun-11
1,black,Jul-11
3,black,Aug-11
1,black,Sep-11
3,black,Oct-11
4,black,Nov-11
1,black,Dec-11
2,black,Jan-12
0,black,Feb-12
3,black,Mar-12
3,black,Apr-12
4,black,May-12
2,black,Jun-12
1,black,Jul-12
3,black,Aug-12
1,black,Sep-12
0,black,Oct-12
3,black,Nov-12
0,black,Dec-12
0,black,Jan-13
0,black,Feb-13
0,black,Mar-13
1,black,Apr-13
0,black,May-13
2,black,Jun-13
0,asian,Jan-10
1,asian,Feb-10
0,asian,Mar-10
1,asian,Apr-10
0,asian,May-10
2,asian,Jun-10
0,asian,Jul-10
1,asian,Aug-10
0,asian,Sep-10
0,asian,Oct-10
0,asian,Nov-10
0,asian,Dec-10
1,asian,Jan-11
2,asian,Feb-11
0,asian,Mar-11
2,asian,Apr-11
0,asian,May-11
1,asian,Jun-11
0,asian,Jul-11
1,asian,Aug-11
0,asian,Sep-11
2,asian,Oct-11
0,asian,Nov-11
0,asian,Dec-11
0,asian,Jan-12
0,asian,Feb-12
0,asian,Mar-12
0,asian,Apr-12
0,asian,May-12
0,asian,Jun-12
0,asian,Jul-12
0,asian,Aug-12
0,asian,Sep-12
1,asian,Oct-12
0,asian,Nov-12
0,asian,Dec-12
0,asian,Jan-13
0,asian,Feb-13
1,asian,Mar-13
0,asian,Apr-13
0,asian,May-13
1,asian,Jun-13
8,hispanic,Jan-10
9,hispanic,Feb-10
8,hispanic,Mar-10
5,hispanic,Apr-10
9,hispanic,May-10
4,hispanic,Jun-10
9,hispanic,Jul-10
4,hispanic,Aug-10
4,hispanic,Sep-10
7,hispanic,Oct-10
6,hispanic,Nov-10
6,hispanic,Dec-10
9,hispanic,Jan-11
5,hispanic,Feb-11
10,hispanic,Mar-11
9,hispanic,Apr-11
4,hispanic,May-11
9,hispanic,Jun-11
2,hispanic,Jul-11
6,hispanic,Aug-11
8,hispanic,Sep-11
5,hispanic,Oct-11
6,hispanic,Nov-11
8,hispanic,Dec-11
5,hispanic,Jan-12
1,hispanic,Feb-12
9,hispanic,Mar-12
3,hispanic,Apr-12
8,hispanic,May-12
7,hispanic,Jun-12
6,hispanic,Jul-12
8,hispanic,Aug-12
7,hispanic,Sep-12
8,hispanic,Oct-12
6,hispanic,Nov-12
2,hispanic,Dec-12
0,hispanic,Jan-13
4,hispanic,Feb-13
0,hispanic,Mar-13
3,hispanic,Apr-13
1,hispanic,May-13
1,hispanic,Jun-13
72,white,Jan-10
26,white,Feb-10
44,white,Mar-10
43,white,Apr-10
58,white,May-10
38,white,Jun-10
40,white,Jul-10
40,white,Aug-10
33,white,Sep-10
31,white,Oct-10
34,white,Nov-10
43,white,Dec-10
38,white,Jan-11
42,white,Feb-11
59,white,Mar-11
52,white,Apr-11
41,white,May-11
28,white,Jun-11
26,white,Jul-11
32,white,Aug-11
28,white,Sep-11
45,white,Oct-11
37,white,Nov-11
44,white,Dec-11
33,white,Jan-12
48,white,Feb-12
51,white,Mar-12
44,white,Apr-12
57,white,May-12
34,white,Jun-12
25,white,Jul-12
33,white,Aug-12
27,white,Sep-12
27,white,Oct-12
32,white,Nov-12
23,white,Dec-12
9,white,Jan-13
8,white,Feb-13
7,white,Mar-13
8,white,Apr-13
4,white,May-13
3,white,Jun-13
